model,seed,mAP50,mAP50-95,Trichoderma_mAP50
yolov8n,42,0.6937,0.529,0.276
yolov8n,123,0.6979,0.5324,0.2642
yolov8n,2026,0.7003,0.5353,0.2927
yolov8s,42,0.697,0.5406,0.293
yolov8s,123,0.6981,0.5344,0.2828
yolov8s,2026,0.6881,0.5348,0.2857
yolov10n,42,0.6873,0.5402,0.271
yolov10n,123,0.6869,0.5346,0.2571
yolov10n,2026,0.6757,0.5351,0.2446
strawmind_cbam,42,0.6953,0.5385,0.287
strawmind_cbam,123,0.6983,0.5325,0.3003
strawmind_cbam,2026,0.7059,0.5354,0.2896

# SUMMARY (mean±std over 3 seeds)
model,mAP50_mean,mAP50_std,mAP5095_mean,Tricho_mean,Tricho_std
yolov8n,0.6973,0.0027,0.5322,0.2776,0.0117
yolov8s,0.6944,0.0045,0.5366,0.2872,0.0043
yolov10n,0.6833,0.0054,0.5366,0.2576,0.0108
strawmind_cbam,0.6998,0.0045,0.5355,0.2923,0.0058
